t,xN,yN,xGR,yGR,rN,rGR,aN,eN,omegaN,fN,hN,EN,aGR,eGR,omegaGR,fGR,hGR,EGR
1882027.564217673,102305402429348,76309526287208.06,102772622792133.7,76526548212875.78,127630478994670.2,128134790657931,295333938206678.7,0.599999999999983,7.191291572342256e-14,0.6408714797478153,5.008515806748852e+21,-224688794684211.4,308007569258198.9,0.6176776068820594,-0.02333810862580793,0.6633871028039449,5.028100306687125e+21,-215443493044071
1925795.647106456,101605759738969.3,77930352586623.58,102093258542073.6,78162140249740.66,128050264608897.3,128578200361331.9,295333938206679,0.5999999999999829,7.287311185236705e-14,0.6542847880982975,5.008515806748853e+21,-224688794684211.1,308522520640055.6,0.6183539230982148,-0.02348952071847372,0.6768972692527718,5.028899685423469e+21,-215083898793949.8
1969563.729995239,100893813913308.8,79541742966444.83,101401913130908.7,79788904580099.09,128477432104293.5,129029520965942.2,295333938206678.5,0.5999999999999822,7.342121684445668e-14,0.6676096702180173,5.008515806748853e+21,-224688794684211.5,309042826441934.9,0.6190341236309878,-0.02362220306968467,0.6902981901398046,5.029707813044619e+21,-214721782637681.9
2013331.812884022,100169772599384.4,81143598052453.89,100698786111141.2,81406749505561.56,128911856892648.1,129488626486339,295333938206678.2,0.5999999999999818,7.413728382557008e-14,0.6808454919079853,5.008515806748852e+21,-224688794684211.8,309568171764221.1,0.6197177211886725,-0.02373641617742655,0.7035894789777438,5.0305242321504e+21,-214357394130107.6
2057099.895772805,99433843581026.31,82735823817250.12,99984077146995.34,83015588380188.2,129353414303662.9,129955390796400.4,295333938206677.9,0.5999999999999812,7.442063267622663e-14,0.6939916779926925,5.008515806748852e+21,-224688794684212,310098245491112.1,0.6204042410026193,-0.02383243742722931,0.716770826776158,5.031348491520321e+21,-213990977278528.1
2100867.978661587,98686234613977.72,84318331503727.28,99257985855287.41,84615339537133.3,129801979683892,130429687728802,295333938206677.1,0.5999999999999802,7.457796024077794e-14,0.7070477110255712,5.008515806748851e+21,-224688794684212.6,310632740600100,0.6210932211774712,-0.02391055973276888,0.7298419993585086,5.0321801465228e+21,-213622770339034.4
2144636.06155037,97927153267035.06,85891037543960.89,98520711652143.44,86205926210933.05,130257428492057.5,130911391171011.6,295333938206677.1,0.5999999999999798,7.544536493880291e-14,0.7200131299483755,5.008515806748851e+21,-224688794684212.6,311171354451107.4,0.6217842129882006,-0.02397109020178466,0.7428028346566501,5.033018759492121e+21,-213253005637530.5
2188404.144439153,97156806769300.19,87453863473886.94,97772453605634.45,87787276455799.98,130719636390698.4,131400375157733.1,295333938206676.4,0.599999999999979,7.591892434686856e-14,0.7328875287101096,5.008515806748851e+21,-224688794684213.1,311713789055375.9,0.6224767811259811,-0.02401434883141065,0.7556532399926791,5.033863900073632e+21,-212881909414701.8
2232172.227327936,96375401863595.53,89006735844145.98,97013410294380.09,89359323060280.45,131188479334121.1,131896513959760.5,295333938206675.8,0.599999999999978,7.569945888651443e-14,0.7456705548509558,5.00851580674885e+21,-224688794684213.6,312259751324243.5,0.623170503895059,-0.02404066723652417,0.7683931893573223,5.034715145537814e+21,-212509701694135.8
2275940.310216719,95583144666070.72,90549586127458.19,96243779672148.64,90922003458624.22,131663833652635.9,132399682169222.6,295333938206675.4,0.5999999999999774,7.560496197755034e-14,0.7583619080564775,5.008515806748849e+21,-224688794684213.9,312808953298048.8,0.6238649733628714,-0.02405038741428601,0.781022720693452,5.035572081063902e+21,-212136596172721.9
2319708.393105502,94780240532009.41,92082350622886.09,95463758938462.19,92475259639206.45,132145576133072.6,132909754781202.8,295333938206674.9,0.5999999999999769,7.622935119789529e-14,0.7709613386871648,5.008515806748849e+21,-224688794684214.2,313361112355440,0.6245597954657471,-0.02404386054760907,0.7935419331926666,5.036434299993868e+21,-211762800132426.9
2363476.475994285,93966893927825.34,93604970357331.45,94673544415197.39,94019038050332.41,132633584095583,133426607271736.5,295333938206674.8,0.5999999999999763,7.696064048373863e-14,0.783468646288174,5.008515806748849e+21,-224688794684214.4,313915951403428.4,0.6252545900725573,-0.02402144584987534,0.8059509846122461,5.037301404057585e+21,-211388514372498
2407244.558883068,93143308309219.75,95117390984601.7,93873331429154.8,95553289503745.19,133127735466746.2,133950115672195.2,295333938206674.8,0.5999999999999763,7.756513525116093e-14,0.7958836780839004,5.008515806748849e+21,-224688794684214.4,314473199048599.2,0.6259489910087502,-0.02398350945280169,0.8182500886191543,5.038173003570152e+21,-211013933161105
2451012.641771851,92309686005454.45,96619562682370.27,93063314200552.73,97077969076145.7,133627908849005.3,134480156640078,295333938206674.6,0.5999999999999762,7.81741239657016e-14,0.8082063274617958,5.008515806748849e+21,-224688794684214.5,315032589749903.5,0.6266426460431777,-0.02393042333902223,0.8304395121671965,5.039048717602279e+21,-210639244205433.2
2494780.724660634,91466228109680.47,98111440047342.09,92243685737388.75,98593036009022.64,134133983586469.6,135016607526239.4,295333938206674.1,0.5999999999999753,7.789957098848617e-14,0.8204365324496135,5.008515806748849e+21,-224688794684214.9,315593863953534.6,0.6273352168401635,-0.02386256432055443,0.8425195729128069,5.039928174124818e+21,-210264628639199.5
2538548.807549417,90613134375247.64,99592981988924.59,91414637735595.48,100098453607077.9,134645839827129.2,135559346438593,295333938206673.6,0.5999999999999744,7.838786233855271e-14,0.8325742741900244,5.008515806748848e+21,-224688794684215.2,316156768210403.3,0.6280263788792141,-0.02378031306401904,0.8544906366744069,5.040811010128442e+21,-209890261026575.2
2582316.8904382,89750603117907.73,101064151621689.8,90576360484907.14,101594189135521.3,135163358581533.1,136108252302334.4,295333938206673.6,0.5999999999999743,7.870713931314605e-14,0.8446195754163324,5.008515806748849e+21,-224688794684215.2,316721055276774.4,0.6287158213447701,-0.02368405316316113,0.8663531149397182,5.041696871719569e+21,-209516309381487.9
2626084.973326983,88878831123811.88,102524916156901.5,89729042780340.56,103080213716495.4,135686421777990.6,136663204916738.8,295333938206673.2,0.5999999999999739,7.920286303862411e-14,0.8565724989327497,5.008515806748849e+21,-224688794684215.5,317286484198653,0.6294032469883435,-0.02357417025892659,0.8781074624248772,5.042585414193655e+21,-209142935201277.4
2669853.056215766,87998013563192.7,103975246793366.6,88872871839184.47,104556502224877.6,136214912314362,137224085008590.8,295333938206673.2,0.5999999999999737,8.028500587499143e-14,0.8684331461024992,5.00851580674885e+21,-224688794684215.5,317852820380521.3,0.6300883719653354,-0.0234510512071189,0.8897541746887359,5.043476302086925e+21,-208770293513703.8
2713621.139104549,87108343909612.05,105415118607858.4,88008033223381.72,106023033183697.1,136748714106510.4,137790774282312.5,295333938206673.6,0.5999999999999736,8.074154995930736e-14,0.8802016553467564,5.00851580674885e+21,-224688794684215.2,318419835639059.5,0.6307709256487716,-0.02331508329338933,0.9012937858052273,5.04436920920769e+21,-208398532936307
2757389.221993332,86210013864646.92,106844510445344,87134710767181.11,107479788659386.2,137287712133489.3,138363155466860.5,295333938206673.1,0.599999999999973,8.052852566509512e-14,0.8918782006572176,5.00851580674885e+21,-224688794684215.6,318987308242498.9,0.6314506504221389,-0.02316665349511959,0.912726866096248,5.045263818648379e+21,-208027795747138.2
2801157.304882115,85303213287878.86,108263404809235.6,86253086509927.95,108926754157078.2,137831792479550.1,138941112359465.7,295333938206673.4,0.5999999999999733,8.094966277541782e-14,0.9034629901248777,5.008515806748851e+21,-224688794684215.4,319555022936256.1,0.6321273014534039,-0.02300614778956294,0.9240540199270885,5.04615982277937e+21,-207658217965914.9
2844925.387770898,84388130132045.81,109671787751872.5,85363340633856.95,110363918516147.4,138380842373049.8,139524529866295.3,295333938206672.9,0.599999999999973,8.032621594777653e-14,0.9149562644873707,5.00851580674885e+21,-224688794684215.8,320122770955512.7,0.6328006464522402,-0.02283395050743354,0.9352758835660497,5.04705692322576e+21,-207289929444668.5
2888693.470659681,83464950383210.56,111069648765426.7,84465651406745.17,111791273806176.1,138934750222350.9,140113294040120.4,295333938206672.9,0.5999999999999727,8.116363286042015e-14,0.9263582956970056,5.008515806748851e+21,-224688794684215.8,320690350025412.4,0.6334704654124028,-0.02265044373097785,0.9463931231095094,5.047954830828155e+21,-206923053966985.9
2932461.553548464,82533858005794.25,112456980673412.3,83560195129279.03,113208815223520.3,139493405648800.6,140707292115072.5,295333938206672.9,0.5999999999999727,8.141685808692759e-14,0.9376693855114693,5.008515806748851e+21,-224688794684215.8,321257564349534.8,0.634136550341085,-0.02245600673546388,0.9574064324733972,5.048853265588532e+21,-206557709354980
2976229.636437247,81595034892321.64,113833779522967.5,82647146086985.58,114616540988634.2,140056699516884.1,141306412538578,295333938206672.8,0.5999999999999723,8.168149599178919e-14,0.9488898641089084,5.008515806748851e+21,-224688794684215.9,321824224587324.5,0.6347987049770306,-0.02225101547285738,0.9683165314516652,5.04975195660227e+21,-206194007583149.5
3019997.71932603,80648660817720.39,115200044478062.2,81726676506575.12,116014452244301.8,140624523961644.8,141910545000559.3,295333938206673.1,0.5999999999999724,8.205199029131809e-14,0.9600200887289788,5.008515806748852e+21,-224688794684215.6,322390147821125.1,0.6354567444990552,-0.02203584209642289,0.9791241638421275,5.050650641977332e+21,-205832054898334.5
3063765.802214812,79694913398015.64,116555777713776.8,80798956516541.53,117402552954911.9,141196772413467.6,142519580459994.6,295333938206672.6,0.5999999999999721,8.227621446862572e-14,0.9710604423412267,5.008515806748852e+21,-224688794684216,322955157513480,0.6361104952265587,-0.02181085452485124,0.989830095639704,5.051549068741626e+21,-205471951945001
3107533.885103595,78733968053259.36,117900984311782.9,79864154111863.59,118780849806901.5,141773339620321.2,143133411168927.3,295333938206672.4,0.5999999999999716,8.27049298171193e-14,0.9820113323420112,5.008515806748851e+21,-224688794684216.1,323519083455347.6,0.6367597943135156,-0.02157641604449755,1.000435113296924,5.052446992739512e+21,-205113793895125.2
3151301.967992378,77765997974533.53,119235672157145.8,78922435122651.45,120149352110483.2,142354121667556.6,143751930694018.8,295333938206672.1,0.5999999999999713,8.24258830290047e-14,0.9928731892810155,5.008515806748851e+21,-224688794684216.4,324081761705854.9,0.6374044894373202,-0.02133288494824163,1.010940022051293,5.053344178518373e+21,-204757670581994.9
3195070.050881161,76791174094866.02,120559851836558.4,77973963186581.28,121508071702759,142939015995357.1,144375033935736.8,295333938206672.1,0.5999999999999714,8.295232275979228e-14,1.003646465618224,5.008515806748852e+21,-224688794684216.4,324643034524216.6,0.6380444384838044,-0.02108061420945051,1.021345644318948,5.054240399206175e+21,-204403666637270.9
3238838.133769944,75809665063898.33,121873536538105.8,77018899724962.41,122857022852317,143527921413937.6,145002617145272.8,295333938206672.1,0.5999999999999712,8.295510147391195e-14,1.014331634512127,5.008515806748852e+21,-224688794684216.4,325202750294433.4,0.6386795092296292,-0.02081995118949649,1.031652818153823,5.055135436380888e+21,-204051861630691.4
3282606.216658727,74821637226145.94,123176741952648.8,76057403922281.16,124196222165392.7,144120738116589,145634577939281.3,295333938206672.1,0.5999999999999709,8.316665371898736e-14,1.024929188639729,5.008515806748852e+21,-224688794684216.4,325760763443338.4,0.6393095790231744,-0.02055123737729215,1.04186239577145,5.056029079932573e+21,-203702330211852.2
3326374.29954751,73827254602692.52,124469486176906.7,75089632709068.28,125525688493672.4,144717367690661,146270815312533.4,295333938206672.2,0.5999999999999709,8.377697151026659e-14,1.035439639048863,5.008515806748853e+21,-224688794684216.2,326316934352587.5,0.6399345344649722,-0.02027480815925933,1.051975242136296,5.056921127918969e+21,-203355142253510.9
3370142.382436293,72826678876162.08,125751789618307.7,74115740747937.23,126845442843803.8,145317713126579.1,146911229648574.3,295333938206671.9,0.5999999999999707,8.31627178562051e-14,1.045863514043138,5.008515806748852e+21,-224688794684216.5,326871129265124.3,0.6405542710886321,-0.01999099261820353,1.061992233611512,5.057811386415303e+21,-203010362995922.5
3413910.465325076,71820069378814.77,127023674901669.4,73135880422643.89,128155508288672.2,145921678824987.3,147555722728477.1,295333938206671.6,0.5999999999999703,8.281557113246643e-14,1.056201358099776,5.008515806748851e+21,-224688794684216.8,327423220186679.2,0.6411686930431459,-0.01970011335953167,1.071914256669783,5.058699669359092e+21,-202668053191725.6
3457678.548213859,70807583083614.47,128285166777763.3,72150201830020.42,129455909880493.5,146529170602107.5,148204197737780.4,295333938206671.8,0.5999999999999701,8.321905242186099e-14,1.066453730820462,5.008515806748851e+21,-224688794684216.6,327973084782790.9,0.6417777127773616,-0.01940248636330213,1.081742206663922,5.059585798390578e+21,-202328269250958.6
3501446.631102642,69789374598119.7,129536292033806,71158852774638.02,130746674565764.1,147140095693404.2,148856559271697.7,295333938206671.3,0.5999999999999699,8.335929387130364e-14,1.076621205915248,5.008515806748851e+21,-224688794684217,328520606271868.2,0.6423812507273621,-0.01909842086061606,1.091476986655784,5.060469602689468e+21,-201991063385792.8
3545214.713991425,68765596161052.34,130777079405917.5,70161978766057.61,132027831102106.6,147754362755644.6,149512713338682.7,295333938206671.8,0.5999999999999701,8.409958409983865e-14,1.086704370219457,5.008515806748852e+21,-224688794684216.6,329065673314739.8,0.6429792350073992,-0.01878821923288024,1.10111950630197,5.061350918808599e+21,-201656483754629.4
3588982.796880208,67736397641401.35,132007559493576.2,69159723018529.66,133299409977037.5,148371881867435,150172567362438.3,295333938206671.3,0.5999999999999697,8.386045600958123e-14,1.096703822743448,5.008515806748851e+21,-224688794684217,329608179901173.2,0.6435716011049794,-0.0184721769325091,1.110670680794784,5.062229590505084e+21,-201324574605206.2
